GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swagger-spring-batch,com.ghosh.sanjay.config,AppConfig,3,0,0,0,1,0,1,0,1,0
swagger-spring-batch,com.ghosh.sanjay.mappers,FieldSetToTradeMapper,38,0,0,0,9,0,3,0,3,0
swagger-spring-batch,com.ghosh.sanjay.writers,TradeWriter,16,0,0,0,7,0,6,0,6,0
swagger-spring-batch,com.ghosh.sanjay.deciders,Decider,18,0,0,0,5,0,3,0,3,0
swagger-spring-batch,com.ghosh.sanjay.processors,TradeProcessor,18,0,0,0,6,0,4,0,4,0
swagger-spring-batch,com.ghosh.sanjay.adapters,PollingAdapterTasklet,11,0,0,0,4,0,4,0,4,0
swagger-spring-batch,com.ghosh.sanjay.validators,TradeValidator,17,0,0,0,5,0,4,0,4,0
swagger-spring-batch,com.ghosh.sanjay.handlers,FileCopyHandler,34,0,0,0,8,0,5,0,5,0
swagger-spring-batch,com.ghosh.sanjay,App,42,0,0,0,10,0,4,0,4,0
swagger-spring-batch,com.ghosh.sanjay.builders,TradeBuilder,45,0,0,0,12,0,6,0,6,0
swagger-spring-batch,com.ghosh.sanjay.domain,Trade,55,0,0,0,15,0,10,0,10,0
